,ANO_ELEICAO,UF,NUMERO_CANDIDATO,NOME_URNA_CANDIDATO,G_Index,V2,Cand_Name_Numb,MoranI,Above_avg_G,Above_avg_I,Quadrant,Party_Number
8207,2010,MG,2312,CLAUDIA NEDER,0.508984244,1160,CLAUDIA NEDER - 2312,0.034197225,TRUE,FALSE,Concentrated and Discontiguous,23
8208,2010,MG,2313,DR. CLAUDIONEI,0.530729265,2687,DR. CLAUDIONEI - 2313,0.405718183,TRUE,TRUE,Concentrated and Contiguous,23
8209,2010,MG,2323,ALEXANDRE SILVEIRA,0.068268429,199418,ALEXANDRE SILVEIRA - 2323,0.481699642,FALSE,TRUE,Deconcentrated and Contiguous,23
8210,2010,MG,2333,RENDE,0.048619831,1800,RENDE - 2333,0.265328705,FALSE,TRUE,Deconcentrated and Contiguous,23
8211,2010,MG,2334,EDUARDO BERNIS,0.05745325,22849,EDUARDO BERNIS - 2334,0.018642822,FALSE,FALSE,Deconcentrated and Discontiguous,23
8212,2010,MG,2340,GERALDO THADEU,0.199062603,87826,GERALDO THADEU - 2340,0.548464992,TRUE,TRUE,Concentrated and Contiguous,23
8213,2010,MG,2342,SALVADOR,0.264761187,714,SALVADOR - 2342,0.176491852,TRUE,TRUE,Concentrated and Contiguous,23
8214,2010,MG,2343,PROFª MARIA AUGUSTA DORNAS,0.241516072,2281,PROFª MARIA AUGUSTA DORNAS - 2343,0.114881114,TRUE,TRUE,Concentrated and Contiguous,23
8215,2010,MG,2345,GERALDO MAGELA STARLING,0.040585294,4158,GERALDO MAGELA STARLING - 2345,0.201473708,FALSE,TRUE,Deconcentrated and Contiguous,23
8216,2010,MG,2360,HUMBERTO SOUTO,0.145068094,65491,HUMBERTO SOUTO - 2360,0.351958781,FALSE,TRUE,Deconcentrated and Contiguous,23
8217,2010,MG,2369,MARDELENE DA ROSA DE SARON,0.275043301,1798,MARDELENE DA ROSA DE SARON - 2369,0.085100584,TRUE,FALSE,Concentrated and Discontiguous,23
8218,2010,MG,2500,LEO NASCIMENTO,0.124228772,1539,LEO NASCIMENTO - 2500,0.209736278,FALSE,TRUE,Deconcentrated and Contiguous,25
8219,2010,MG,2505,LAEL VARELLA,0.056312563,243884,LAEL VARELLA - 2505,0.807908712,FALSE,TRUE,Deconcentrated and Contiguous,25
8220,2010,MG,2510,JOÃO BITTAR,0.302143167,73782,JOÃO BITTAR - 2510,0.418911388,TRUE,TRUE,Concentrated and Contiguous,25
8221,2010,MG,2515,MAURO LUIZ,0.364490841,769,MAURO LUIZ - 2515,0.098777138,TRUE,FALSE,Concentrated and Discontiguous,25
8222,2010,MG,2521,MARCÃO,0.181440877,294,MARCÃO - 2521,0.025310302,TRUE,FALSE,Concentrated and Discontiguous,25
8223,2010,MG,2522,RUY MUNIZ,0.129599957,52970,RUY MUNIZ - 2522,0.31793981,FALSE,TRUE,Deconcentrated and Contiguous,25
8224,2010,MG,2525,JAIRO ATAIDE,0.14719461,73194,JAIRO ATAIDE - 2525,0.287935682,FALSE,TRUE,Deconcentrated and Contiguous,25
8225,2010,MG,2526,VITOR PENIDO,0.081466796,79265,VITOR PENIDO - 2526,0.298748129,FALSE,TRUE,Deconcentrated and Contiguous,25
8226,2010,MG,2533,LUIZ CARLOS,0.255296045,367,LUIZ CARLOS - 2533,0.014626647,TRUE,FALSE,Concentrated and Discontiguous,25
8227,2010,MG,2545,MARCOS MONTES,0.190145486,94077,MARCOS MONTES - 2545,0.576115655,TRUE,TRUE,Concentrated and Contiguous,25
8228,2010,MG,2555,CARLOS MELLES,0.056800381,100325,CARLOS MELLES - 2555,0.694123941,FALSE,TRUE,Deconcentrated and Contiguous,25
8229,2010,MG,2567,CARLOS LOBO,0.087565884,1443,CARLOS LOBO - 2567,0.111272905,FALSE,FALSE,Deconcentrated and Discontiguous,25
8230,2010,MG,2577,LUCELIO PAIXÃO,0.186970405,1917,LUCELIO PAIXÃO - 2577,0.045047715,TRUE,FALSE,Concentrated and Discontiguous,25
8231,2010,MG,2700,ALESSANDRO MARQUES,0.11184476,64905,ALESSANDRO MARQUES - 2700,0.02910439,FALSE,FALSE,Deconcentrated and Discontiguous,27
8232,2010,MG,2701,JOÃO JOSÉ,0.937890638,11826,JOÃO JOSÉ - 2701,0.05325909,TRUE,FALSE,Concentrated and Discontiguous,27
